Epsilon,NimWin,NimLoss,NimDraw,StatesInPolicy
0,1823,2177,0,912
0.01,2425,1575,0,1044
0.02,2567,1433,0,1088
0.03,2221,1779,0,1112
0.04,2821,1179,0,1112
0.05,2592,1408,0,1111
0.06,2645,1355,0,1175
0.07,2714,1286,0,1163
0.08,2652,1348,0,1088
0.09,2885,1115,0,1179
0.1,2537,1463,0,1178
0.11,2738,1262,0,1113
0.12,2709,1291,0,1163
0.13,2631,1369,0,1214
0.14,2836,1164,0,1195
0.15,2782,1218,0,1191
0.16,2695,1305,0,1204
0.17,2780,1220,0,1162
0.18,2784,1216,0,1205
0.19,2698,1302,0,1213
0.2,2752,1248,0,1213
0.21,2798,1202,0,1205
0.22,2767,1233,0,1136
0.23,2825,1175,0,1245
0.24,2718,1282,0,1212
0.25,2712,1288,0,1237
0.26,2707,1293,0,1231
0.27,2741,1259,0,1169
0.28,2706,1294,0,1206
0.29,2762,1238,0,1165
0.3,2712,1288,0,1193
0.31,2584,1416,0,1243
0.32,2763,1237,0,1229
0.33,2727,1273,0,1197
0.34,2741,1259,0,1245
0.35,2776,1224,0,1167
0.36,2731,1269,0,1232
0.37,2746,1254,0,1221
0.38,2667,1333,0,1231
0.39,2733,1267,0,1233
0.4,2680,1320,0,1197
0.41,2645,1355,0,1228
0.42,2607,1393,0,1245
0.43,2617,1383,0,1203
0.44,2628,1372,0,1198
0.45,2662,1338,0,1216
0.46,2582,1418,0,1213
0.47,2551,1449,0,1233
0.48,2596,1404,0,1214
0.49,2503,1497,0,1207
0.5,2593,1407,0,1213
0.51,2603,1397,0,1218
0.52,2552,1448,0,1233
0.53,2560,1440,0,1231
0.54,2516,1484,0,1203
0.55,2483,1517,0,1228
0.56,2492,1508,0,1231
0.57,2486,1514,0,1220
0.58,2520,1480,0,1211
0.59,2496,1504,0,1238
0.6,2493,1507,0,1236
0.61,2475,1525,0,1241
0.62,2461,1539,0,1223
0.63,2412,1588,0,1247
0.64,2412,1588,0,1223
0.65,2400,1600,0,1225
0.66,2420,1580,0,1239
0.67,2438,1562,0,1230
0.68,2375,1625,0,1230
0.69,2412,1588,0,1230
0.7,2423,1577,0,1246
0.71,2398,1602,0,1229
0.72,2318,1682,0,1231
0.73,2353,1647,0,1219
0.74,2322,1678,0,1230
0.75,2310,1690,0,1249
0.76,2333,1667,0,1226
0.77,2288,1712,0,1231
0.78,2324,1676,0,1233
0.79,2241,1759,0,1236
0.8,2258,1742,0,1234
0.81,2268,1732,0,1229
0.82,2265,1735,0,1233
0.83,2160,1840,0,1227
0.84,2213,1787,0,1245
0.85,2258,1742,0,1232
0.86,2196,1804,0,1246
0.87,2229,1771,0,1229
0.88,2133,1867,0,1233
0.89,2104,1896,0,1240
0.9,2124,1876,0,1226
0.91,2112,1888,0,1237
0.92,2069,1931,0,1239
0.93,2055,1945,0,1226
0.94,2100,1900,0,1219
0.95,2080,1920,0,1246
0.96,2063,1937,0,1225
0.97,2033,1967,0,1233
0.98,2056,1944,0,1213
0.99,2016,1984,0,1225
1,1982,2018,0,1219
