Epsilon,ChungToiWin,ChungToiLoss,ChungToiDraw,StatesInPolicy
0.0,388871,422589,188540,194619
0.01,634623,254920,110457,206021
0.02,693126,215608,91266,209497
0.03,722343,194719,82938,215273
0.04,734065,188954,76981,220201
0.05,745001,181631,73368,223488
0.060000000000000005,754959,175580,69461,227049
0.07,755808,176777,67415,230321
0.08,757235,175874,66891,233653
0.09,755407,176876,67717,237767
0.09999999999999999,756229,177250,66521,239956
0.10999999999999999,754943,178846,66211,242315
0.11999999999999998,754116,180033,65851,244767
0.12999999999999998,754867,180022,65111,248068
0.13999999999999999,751808,182782,65410,250052
0.15,752897,182428,64675,252188
0.16,747959,187232,64809,254426
0.17,748596,186658,64746,255631
0.18000000000000002,745686,189909,64405,257941
0.19000000000000003,745823,189496,64681,259651
0.20000000000000004,742053,192162,65785,261438
0.21000000000000005,741739,193212,65049,262145
0.22000000000000006,738435,195399,66166,264910
0.23000000000000007,737261,196578,66161,265650
0.24000000000000007,735094,198559,66347,267967
0.25000000000000006,732161,200940,66899,269026
0.26000000000000006,731953,200708,67339,270441
0.2700000000000001,728439,203581,67980,271648
0.2800000000000001,724518,207137,68345,273566
0.2900000000000001,721278,209134,69588,275091
0.3000000000000001,718310,211424,70266,276438
0.3100000000000001,718434,211704,69862,277281
0.3200000000000001,713907,215023,71070,278657
0.3300000000000001,711133,216942,71925,280346
0.34000000000000014,706976,220485,72539,281531
0.35000000000000014,705874,220680,73446,282556
0.36000000000000015,703749,222645,73606,284253
0.37000000000000016,699680,225485,74835,284997
0.38000000000000017,697233,227239,75528,286285
0.3900000000000002,692536,231102,76362,287574
0.4000000000000002,690659,231971,77370,288415
0.4100000000000002,687001,234543,78456,289726
0.4200000000000002,683816,237323,78861,291461
0.4300000000000002,680042,239875,80083,292424
0.4400000000000002,676142,242622,81236,293734
0.45000000000000023,672159,245792,82049,294978
0.46000000000000024,669984,246869,83147,295550
0.47000000000000025,666404,249804,83792,296859
0.48000000000000026,664153,250979,84868,297691
0.49000000000000027,659304,254466,86230,299002
0.5000000000000002,655926,256690,87384,299969
0.5100000000000002,653791,258424,87785,301321
0.5200000000000002,649801,261135,89064,302270
0.5300000000000002,646034,263278,90688,303088
0.5400000000000003,641436,266793,91771,304318
0.5500000000000003,638692,268124,93184,305520
0.5600000000000003,634101,271757,94142,306541
0.5700000000000003,631436,273629,94935,307011
0.5800000000000003,626600,276854,96546,308421
0.5900000000000003,623148,279149,97703,309250
0.6000000000000003,619592,281857,98551,310678
0.6100000000000003,615203,284384,100413,311346
0.6200000000000003,611948,286893,101159,312338
0.6300000000000003,607609,289161,103230,313041
0.6400000000000003,603587,292636,103777,314155
0.6500000000000004,600388,294094,105518,315131
0.6600000000000004,596012,297167,106821,315682
0.6700000000000004,591345,300059,108596,316958
0.6800000000000004,587240,302485,110275,317805
0.6900000000000004,582499,305512,111989,318693
0.7000000000000004,579439,307247,113314,319708
0.7100000000000004,574495,310601,114904,320589
0.7200000000000004,571006,312759,116235,321348
0.7300000000000004,565852,316026,118122,322184
0.7400000000000004,560938,319461,119601,322910
0.7500000000000004,557543,321588,120869,323661
0.7600000000000005,551829,324799,123372,324571
0.7700000000000005,547353,328373,124274,325371
0.7800000000000005,542625,330414,126961,326229
0.7900000000000005,537357,334013,128630,326177
0.8000000000000005,532581,336630,130789,327620
0.8100000000000005,527455,340116,132429,328238
0.8200000000000005,523048,342399,134553,328886
0.8300000000000005,517649,346282,136069,329473
0.8400000000000005,512397,348927,138676,330646
0.8500000000000005,507319,352089,140592,331283
0.8600000000000005,502074,354875,143051,331692
0.8700000000000006,495275,358794,145931,332497
0.8800000000000006,489576,363188,147236,332933
0.8900000000000006,484244,366316,149440,333678
0.9000000000000006,477892,369907,152201,334214
0.9100000000000006,472125,372859,155016,334658
0.9200000000000006,465218,377063,157719,335176
0.9300000000000006,458323,381290,160387,335941
0.9400000000000006,451502,384950,163548,336316
0.9500000000000006,446651,387544,165805,336562
0.9600000000000006,439701,392135,168164,336909
0.9700000000000006,432816,396324,170860,337172
0.9800000000000006,424109,401561,174330,337500
0.9900000000000007,417663,404376,177961,337986
1.0,410228,408939,180833,338059
