Epsilon,LimitedActionsWin,LimitedActionsLoss,LimitedActionsDraw
0.01,712111,81954,205935
0.02,720445,79074,200481
0.03,712679,79412,207909
0.04,714788,80475,204737
0.05,714086,84034,201880
0.060000000000000005,711751,87497,200752
0.07,709441,89668,200891
0.08,709631,92529,197840
0.09,706238,95561,198201
0.09999999999999999,704429,97657,197914
0.10999999999999999,702971,102262,194767
0.11999999999999998,701315,105396,193289
0.12999999999999998,697057,108340,194603
0.13999999999999999,696975,112468,190557
0.15,694585,115227,190188
0.16,693750,118176,188074
0.17,691832,121581,186587
0.18000000000000002,689393,126505,184102
0.19000000000000003,684861,129542,185597
0.20000000000000004,680854,133173,185973
0.21000000000000005,680242,136470,183288
0.22000000000000006,678077,139527,182396
0.23000000000000007,676258,142968,180774
0.24000000000000007,673064,146401,180535
0.25000000000000006,671321,149989,178690
0.26000000000000006,668559,154004,177437
0.2700000000000001,664580,157089,178331
0.2800000000000001,661650,161381,176969
0.2900000000000001,661066,164177,174757
0.3000000000000001,656764,167986,175250
0.3100000000000001,654267,171837,173896
0.3200000000000001,653561,175195,171244
0.3300000000000001,650808,178589,170603
0.34000000000000014,646707,182359,170934
0.35000000000000014,644464,186769,168767
0.36000000000000015,641765,189155,169080
0.37000000000000016,639434,192697,167869
0.38000000000000017,636255,196820,166925
0.3900000000000002,632830,200166,167004
0.4000000000000002,630547,203696,165757
0.4100000000000002,628527,206960,164513
0.4200000000000002,624347,211671,163982
0.4300000000000002,621702,214886,163412
0.4400000000000002,618895,218684,162421
0.45000000000000023,615599,222387,162014
0.46000000000000024,612897,226076,161027
0.47000000000000025,609844,229474,160682
0.48000000000000026,606693,233161,160146
0.49000000000000027,604793,236930,158277
0.5000000000000002,602105,239595,158300
0.5100000000000002,599009,243845,157146
0.5200000000000002,595870,247454,156676
0.5300000000000002,592543,251192,156265
0.5400000000000003,590159,254571,155270
0.5500000000000003,587044,258304,154652
0.5600000000000003,583717,262145,154138
0.5700000000000003,580586,266462,152952
0.5800000000000003,577937,269453,152610
0.5900000000000003,574225,273568,152207
0.6000000000000003,571578,277060,151362
0.6100000000000003,568174,280628,151198
0.6200000000000003,564997,284188,150815
0.6300000000000003,562211,287987,149802
0.6400000000000003,558834,292867,148299
0.6500000000000004,554527,295891,149582
0.6600000000000004,552228,299659,148113
0.6700000000000004,549353,302921,147726
0.6800000000000004,545219,307640,147141
0.6900000000000004,543765,309991,146244
0.7000000000000004,539347,314689,145964
0.7100000000000004,535602,318546,145852
0.7200000000000004,532271,322677,145052
0.7300000000000004,529510,326154,144336
0.7400000000000004,525577,330034,144389
0.7500000000000004,521598,334373,144029
0.7600000000000005,520040,337285,142675
0.7700000000000005,516846,341037,142117
0.7800000000000005,511769,346370,141861
0.7900000000000005,509323,349402,141275
0.8000000000000005,505587,353643,140770
0.8100000000000005,501745,357288,140967
0.8200000000000005,499070,360886,140044
0.8300000000000005,494658,365361,139981
0.8400000000000005,491926,368667,139407
0.8500000000000005,487835,373324,138841
0.8600000000000005,484685,377154,138161
0.8700000000000006,481056,380828,138116
0.8800000000000006,477399,384668,137933
0.8900000000000006,473597,388956,137447
0.9000000000000006,470370,393301,136329
0.9100000000000006,466448,397433,136119
0.9200000000000006,463077,401148,135775
0.9300000000000006,459426,405709,134865
0.9400000000000006,455662,409042,135296
0.9500000000000006,453082,412520,134398
0.9600000000000006,447980,417632,134388
0.9700000000000006,444846,421478,133676
0.9800000000000006,441197,426495,132308
0.9900000000000007,438195,429446,132359
