Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,234102,192533,73365,257
0.01,412806,29630,57564,603
0.02,414750,27574,57676,606
0.03,414263,27753,57984,632
0.04,414082,28089,57829,633
0.05,413809,29059,57132,640
0.06,409511,30972,59517,639
0.07,410625,31131,58244,639
0.08,408795,32814,58391,638
0.09,409338,33865,56797,640
0.1,405341,35374,59285,639
0.11,404716,36100,59184,639
0.12,403073,37892,59035,640
0.13,401778,39550,58672,640
0.14,400174,41298,58528,640
0.15,397531,42843,59626,640
0.16,397114,43819,59067,640
0.17,394910,46172,58918,640
0.18,391658,47633,60709,640
0.19,389627,49956,60417,640
0.2,388504,51328,60168,640
0.21,387831,52656,59513,640
0.22,385073,55226,59701,640
0.23,382603,57037,60360,640
0.24,380498,58684,60818,640
0.25,377927,60535,61538,640
0.26,375776,62336,61888,640
0.27,375206,64123,60671,640
0.28,373676,65574,60750,640
0.29,371266,67861,60873,640
0.3,369267,69682,61051,640
0.31,367697,71211,61092,640
0.32,365369,73562,61069,640
0.33,362983,75607,61410,640
0.34,362011,77052,60937,640
0.35,358576,79292,62132,640
0.36,356972,80944,62084,640
0.37,354569,83196,62235,640
0.38,352950,85330,61720,640
0.39,349972,87498,62530,640
0.4,348543,88811,62646,640
0.41,345854,90922,63224,640
0.42,343277,93862,62861,640
0.43,342111,94650,63239,640
0.44,338358,97410,64232,640
0.45,338031,99047,62922,640
0.46,335571,101593,62836,640
0.47,334206,102894,62900,640
0.48,331912,104918,63170,640
0.49,329757,107159,63084,640
0.5,327466,109470,63064,640
0.51,325238,111418,63344,640
0.52,322658,113974,63368,640
0.53,320104,115997,63899,640
0.54,319459,116878,63663,640
0.55,317444,119215,63341,640
0.56,315360,121737,62903,640
0.57,312905,123105,63990,640
0.58,310743,126197,63060,640
0.59,307524,127859,64617,640
0.6,305104,130468,64428,640
0.61,305134,131720,63146,640
0.62,301114,134266,64620,640
0.63,299504,136442,64054,640
0.64,297607,139016,63377,640
0.65,294919,140631,64450,640
0.66,292952,142785,64263,640
0.67,290329,145262,64409,640
0.68,289009,147089,63902,640
0.69,286067,149581,64352,640
0.7,283259,152170,64571,640
0.71,282700,153595,63705,640
0.72,280369,155812,63819,640
0.73,278064,157914,64022,640
0.74,275007,160139,64854,640
0.75,273211,162481,64308,640
0.76,271085,164485,64430,640
0.77,268809,167230,63961,640
0.78,267566,168038,64396,640
0.79,263329,171394,65277,640
0.8,261242,174076,64682,640
0.81,260284,175692,64024,640
0.82,257470,178078,64452,640
0.83,255273,180508,64219,640
0.84,253302,182210,64488,640
0.85,250900,185340,63760,640
0.86,249330,186414,64256,640
0.87,247063,189070,63867,640
0.88,244387,191512,64101,640
0.89,242510,193407,64083,640
0.9,240282,195364,64354,640
0.91,237979,198169,63852,640
0.92,235380,201009,63611,640
0.93,233785,202634,63581,640
0.94,231620,204704,63676,640
0.95,229111,206962,63927,640
0.96,227552,208768,63680,640
0.97,225220,211065,63715,640
0.98,222747,213800,63453,640
0.99,220545,216162,63293,640
1,217875,218855,63270,640
