Epsilon,TicTacToeSymmetricEqualityWin,TicTacToeSymmetricEqualityLoss,TicTacToeSymmetricEqualityDraw,StatesInPolicy
0,4045,4432,1523,175
0.01,5109,3534,1357,494
0.02,5535,2905,1560,500
0.03,6344,2334,1322,528
0.04,5751,2917,1332,562
0.05,6265,2376,1359,578
0.06,6549,1949,1502,558
0.07,6362,1994,1644,573
0.08,6513,2035,1452,580
0.09,6817,1665,1518,562
0.1,6579,1934,1487,585
0.11,6637,1895,1468,598
0.12,6678,1864,1458,603
0.13,6607,1840,1553,588
0.14,6687,1861,1452,599
0.15,6799,1670,1531,603
0.16,6494,1970,1536,611
0.17,6713,1807,1480,612
0.18,6735,1846,1419,615
0.19,6646,1850,1504,610
0.2,6702,1933,1365,624
0.21,6687,1817,1496,622
0.22,6426,1997,1577,626
0.23,6584,1941,1475,625
0.24,6652,1901,1447,618
0.25,6477,2065,1458,624
0.26,6591,1879,1530,625
0.27,6462,1988,1550,632
0.28,6437,2041,1522,626
0.29,6575,2003,1422,628
0.3,6275,2164,1561,633
0.31,6326,2122,1552,627
0.32,6182,2272,1546,634
0.33,6259,2180,1561,630
0.34,6266,2198,1536,630
0.35,6379,2158,1463,631
0.36,6320,2308,1372,632
0.37,6354,2166,1480,633
0.38,6304,2329,1367,634
0.39,6154,2296,1550,634
0.4,6217,2322,1461,633
0.41,6103,2405,1492,634
0.42,6233,2452,1315,636
0.43,6180,2487,1333,636
0.44,6145,2474,1381,636
0.45,6119,2446,1435,635
0.46,6026,2599,1375,635
0.47,6009,2568,1423,636
0.48,5890,2692,1418,634
0.49,5946,2659,1395,637
0.5,5980,2653,1367,633
0.51,5930,2684,1386,637
0.52,5945,2685,1370,636
0.53,5798,2753,1449,636
0.54,5905,2726,1369,638
0.55,5888,2789,1323,636
0.56,5872,2764,1364,638
0.57,5724,2902,1374,635
0.58,5694,2920,1386,636
0.59,5808,2898,1294,635
0.6,5815,2855,1330,637
0.61,5705,2897,1398,637
0.62,5676,2955,1369,638
0.63,5601,3047,1352,638
0.64,5527,3103,1370,638
0.65,5563,3060,1377,636
0.66,5566,3111,1323,636
0.67,5436,3243,1321,636
0.68,5535,3155,1310,638
0.69,5363,3251,1386,637
0.7,5389,3261,1350,637
0.71,5309,3310,1381,638
0.72,5275,3421,1304,638
0.73,5398,3290,1312,638
0.74,5294,3450,1256,638
0.75,5188,3469,1343,637
0.76,5162,3502,1336,638
0.77,5129,3600,1271,637
0.78,5138,3578,1284,637
0.79,5027,3706,1267,638
0.8,5049,3650,1301,638
0.81,5014,3724,1262,638
0.82,4936,3755,1309,637
0.83,4994,3716,1290,637
0.84,4913,3784,1303,638
0.85,4873,3863,1264,638
0.86,4930,3808,1262,638
0.87,4790,3920,1290,638
0.88,4898,3867,1235,638
0.89,4718,4019,1263,638
0.9,4746,3978,1276,638
0.91,4580,4118,1302,637
0.92,4667,4046,1287,638
0.93,4601,4095,1304,638
0.94,4541,4183,1276,638
0.95,4438,4313,1249,638
0.96,4493,4229,1278,637
0.97,4437,4275,1288,638
0.98,4398,4321,1281,637
0.99,4454,4353,1193,638
1,4422,4347,1231,638
