Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,222823,205495,71682,821
0.01,347161,51499,101340,3353
0.02,347746,39584,112670,3605
0.03,343898,41370,114732,3829
0.04,344047,39809,116144,3946
0.05,354322,40906,104772,4115
0.06,344035,43662,112303,4116
0.07,352375,43714,103911,4196
0.08,346114,44496,109390,4289
0.09,337865,47856,114279,4331
0.1,339319,48556,112125,4359
0.11,341150,48943,109907,4383
0.12,341114,50733,108153,4389
0.13,347181,51675,101144,4422
0.14,345300,53140,101560,4432
0.15,343589,55701,100710,4435
0.16,341919,56419,101662,4451
0.17,336474,57764,105762,4483
0.18,340046,59294,100660,4472
0.19,333279,60535,106186,4484
0.2,331956,62452,105592,4483
0.21,337394,64029,98577,4495
0.22,336817,66210,96973,4506
0.23,335117,67207,97676,4509
0.24,336176,68638,95186,4509
0.25,327677,71226,101097,4508
0.26,335725,71544,92731,4510
0.27,330063,72928,97009,4518
0.28,330757,76092,93151,4514
0.29,330413,77943,91644,4518
0.3,324669,79557,95774,4520
0.31,325884,81317,92799,4519
0.32,326800,82208,90992,4520
0.33,324731,84011,91258,4520
0.34,323632,85088,91280,4520
0.35,323564,87680,88756,4520
0.36,317063,89642,93295,4520
0.37,322686,90330,86984,4520
0.38,320067,92188,87745,4520
0.39,315110,95605,89285,4520
0.4,315984,96442,87574,4520
0.41,318207,97258,84535,4520
0.42,314370,100170,85460,4520
0.43,313141,101511,85348,4520
0.44,310097,103379,86524,4520
0.45,309937,105096,84967,4520
0.46,309318,106969,83713,4520
0.47,307605,109706,82689,4520
0.48,306545,110884,82571,4520
0.49,304166,112941,82893,4520
0.5,303251,114512,82237,4520
0.51,303609,115405,80986,4520
0.52,301861,117956,80183,4520
0.53,300648,120155,79197,4520
0.54,298725,122150,79125,4520
0.55,297940,123976,78084,4520
0.56,296219,125094,78687,4520
0.57,294685,128122,77193,4520
0.58,292824,130373,76803,4520
0.59,292047,131675,76278,4520
0.6,290247,134510,75243,4520
0.61,289457,135617,74926,4520
0.62,288211,138054,73735,4520
0.63,285350,140233,74417,4520
0.64,284110,141772,74118,4520
0.65,282672,143202,74126,4520
0.66,280155,146402,73443,4520
0.67,280059,147558,72383,4520
0.68,277810,149990,72200,4520
0.69,276394,151257,72349,4520
0.7,275206,153350,71444,4520
0.71,272760,156487,70753,4520
0.72,270942,157809,71249,4520
0.73,269639,159836,70525,4520
0.74,267109,162626,70265,4520
0.75,266500,163690,69810,4520
0.76,264982,166300,68718,4520
0.77,262759,168310,68931,4520
0.78,261159,170579,68262,4520
0.79,258880,172906,68214,4520
0.8,257329,174983,67688,4520
0.81,255955,176834,67211,4520
0.82,253026,179838,67136,4520
0.83,251668,180853,67479,4520
0.84,249541,183537,66922,4520
0.85,248699,185002,66299,4520
0.86,246205,187175,66620,4520
0.87,244379,189467,66154,4520
0.88,242343,192222,65435,4520
0.89,240644,193976,65380,4520
0.9,237620,196977,65403,4520
0.91,236322,198973,64705,4520
0.92,234106,200677,65217,4520
0.93,232746,202754,64500,4520
0.94,230322,205308,64370,4520
0.95,228205,207556,64239,4520
0.96,226356,209842,63802,4520
0.97,224759,211182,64059,4520
0.98,222544,213442,64014,4520
0.99,220366,216235,63399,4520
1,218625,218243,63132,4520
