Epsilon,TicTacToeNormalWin,TicTacToeNormalLoss,TicTacToeNormalDraw,StatesInPolicy
0,44460,44406,11134,773
0.01,56794,24549,18657,2756
0.02,59017,18954,22029,3060
0.03,63665,16265,20070,3192
0.04,63251,14225,22524,3283
0.05,64960,13948,21092,3354
0.06,65005,13636,21359,3614
0.07,63918,13991,22091,3635
0.08,64566,13978,21456,3654
0.09,66616,13868,19516,3747
0.1,65344,13966,20690,3866
0.11,64104,14094,21802,3927
0.12,63990,14451,21559,3974
0.13,64284,14907,20809,4046
0.14,64216,14980,20804,4096
0.15,64992,15502,19506,4102
0.16,64754,15723,19523,4104
0.17,64705,15713,19582,4192
0.18,64055,16195,19750,4251
0.19,64196,15898,19906,4230
0.2,62977,16565,20458,4254
0.21,63162,17293,19545,4288
0.22,63840,17575,18585,4318
0.23,62771,17712,19517,4344
0.24,62985,17711,19304,4373
0.25,62933,18117,18950,4366
0.26,63238,18153,18609,4377
0.27,62653,18635,18712,4396
0.28,62904,18949,18147,4405
0.29,63626,18949,17425,4416
0.3,63054,19057,17889,4439
0.31,61602,19539,18859,4432
0.32,61371,20365,18264,4448
0.33,61307,20414,18279,4450
0.34,62022,20713,17265,4468
0.35,60895,21152,17953,4465
0.36,61553,20756,17691,4479
0.37,61141,21732,17127,4470
0.38,61175,21931,16894,4486
0.39,60647,22310,17043,4476
0.4,60298,22690,17012,4496
0.41,60648,22722,16630,4499
0.42,60018,22899,17083,4502
0.43,59612,23390,16998,4511
0.44,59248,23947,16805,4507
0.45,59850,23999,16151,4512
0.46,59236,24470,16294,4511
0.47,58907,24486,16607,4514
0.48,59195,25015,15790,4516
0.49,58110,25567,16323,4515
0.5,58712,25747,15541,4517
0.51,57821,26152,16027,4515
0.52,57607,26672,15721,4519
0.53,57614,26840,15546,4516
0.54,57735,26986,15279,4517
0.55,57094,27646,15260,4518
0.56,56987,27634,15379,4519
0.57,57382,27821,14797,4520
0.58,56232,28527,15241,4520
0.59,56243,28858,14899,4520
0.6,56089,29064,14847,4520
0.61,55860,29335,14805,4520
0.62,56010,29531,14459,4520
0.63,55147,30067,14786,4520
0.64,55176,30148,14676,4520
0.65,54616,31008,14376,4520
0.66,54316,31256,14428,4520
0.67,54225,31584,14191,4520
0.68,53847,32006,14147,4520
0.69,53707,32311,13982,4520
0.7,53296,32531,14173,4520
0.71,52960,33114,13926,4520
0.72,52580,33313,14107,4520
0.73,52530,33734,13736,4520
0.74,52354,33947,13699,4520
0.75,52077,34122,13801,4520
0.76,51614,34736,13650,4520
0.77,51570,34745,13685,4520
0.78,51186,35117,13697,4520
0.79,50553,35960,13487,4520
0.8,50215,36399,13386,4520
0.81,50350,36320,13330,4520
0.82,49862,36904,13234,4520
0.83,49656,37186,13158,4520
0.84,49184,37708,13108,4520
0.85,48730,38134,13136,4520
0.86,48553,38251,13196,4520
0.87,47837,39008,13155,4520
0.88,47814,39148,13038,4520
0.89,47219,39657,13124,4520
0.9,47141,39932,12927,4520
0.91,46860,40288,12852,4520
0.92,46477,40838,12685,4520
0.93,46304,40855,12841,4520
0.94,45976,41193,12831,4520
0.95,45457,41604,12939,4520
0.96,44913,42353,12734,4520
0.97,44638,42651,12711,4520
0.98,44373,42844,12783,4520
0.99,43945,43443,12612,4520
1,43849,43467,12684,4520
